"paper","year","da_label","test"
"http://orkg.org/orkg/resource/R227514","2022","analysis","fisher exact test"
"http://orkg.org/orkg/resource/R193295","2021","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R193308","2021","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R193920","2020","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R227465","2022","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R193044","2021","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R227514","2022","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R283080","2009","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194431","2019","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R228189","2022","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R193295","2021","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R192345","2021","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R193044","2021","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194431","2019","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194458","2019","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R228189","2022","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194431","2019","analysis","t-test"
"http://orkg.org/orkg/resource/R228189","2022","analysis","t-test"
"http://orkg.org/orkg/resource/R193441","2020","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R228211","2022","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R229273","2022","analysis","dunn-test"
"http://orkg.org/orkg/resource/R229273","2022","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R193295","2021","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R229273","2022","analysis","bonferroni adjustment"
"http://orkg.org/orkg/resource/R192345","2021","analysis","welch t-test"
"http://orkg.org/orkg/resource/R194458","2019","analysis","welch t-test"
"http://orkg.org/orkg/resource/R192345","2021","analysis","levene test"
"http://orkg.org/orkg/resource/R192345","2021","analysis","games-howell post-hoc"
"http://orkg.org/orkg/resource/R193044","2021","analysis","one sample t-test"
"http://orkg.org/orkg/resource/R193044","2021","analysis","percentile method"
"http://orkg.org/orkg/resource/R193308","2021","analysis","multiple regression"
"http://orkg.org/orkg/resource/R193418","2020","analysis","chi-squared test"
"http://orkg.org/orkg/resource/R193490","2020","analysis","chi-squared test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","paired t-test"
"http://orkg.org/orkg/resource/R193929","2020","analysis","paired t-test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","f-test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","unpaired two samples t-test"
"http://orkg.org/orkg/resource/R194281","2019","analysis","unpaired two-samples Wilcoxon test"
"http://orkg.org/orkg/resource/R194373","2019","analysis","mann-whitney-wilcoxon test"
"http://orkg.org/orkg/resource/R194373","2019","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R194401","2019","analysis","Mann-Whitney test"
"http://orkg.org/orkg/resource/R194431","2019","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R194954","2018","analysis",
"http://orkg.org/orkg/resource/R113160","2018","analysis",
"http://orkg.org/orkg/resource/R76818","2018","analysis",
"http://orkg.org/orkg/resource/R195182","2018","analysis",
"http://orkg.org/orkg/resource/R195201","2018","analysis",
"http://orkg.org/orkg/resource/R195713","2017","analysis",
"http://orkg.org/orkg/resource/R195789","2017","analysis",
"http://orkg.org/orkg/resource/R195857","2017","analysis",
"http://orkg.org/orkg/resource/R195679","2017","analysis",
"http://orkg.org/orkg/resource/R195849","2017","analysis",
"http://orkg.org/orkg/resource/R195986","2017","analysis",
"http://orkg.org/orkg/resource/R196021","2017","analysis",
"http://orkg.org/orkg/resource/R196033","2017","analysis",
"http://orkg.org/orkg/resource/R196046","2017","analysis",
"http://orkg.org/orkg/resource/R198856","2016","analysis",
"http://orkg.org/orkg/resource/R74547","2016","analysis",
"http://orkg.org/orkg/resource/R198944","2016","analysis",
"http://orkg.org/orkg/resource/R198979","2016","analysis",
"http://orkg.org/orkg/resource/R199136","2015","analysis",
"http://orkg.org/orkg/resource/R113204","2018","analysis",
"http://orkg.org/orkg/resource/R200061","2015","analysis",
"http://orkg.org/orkg/resource/R211106","2014","analysis",
"http://orkg.org/orkg/resource/R211302","2014","analysis",
"http://orkg.org/orkg/resource/R211394","2014","analysis",
"http://orkg.org/orkg/resource/R211428","2014","analysis",
"http://orkg.org/orkg/resource/R211438","2014","analysis",
"http://orkg.org/orkg/resource/R220314","2013","analysis",
"http://orkg.org/orkg/resource/R220323","2013","analysis",
"http://orkg.org/orkg/resource/R220538","2013","analysis",
"http://orkg.org/orkg/resource/R220583","2013","analysis",
"http://orkg.org/orkg/resource/R220633","2013","analysis",
"http://orkg.org/orkg/resource/R220881","2012","analysis",
"http://orkg.org/orkg/resource/R221821","2012","analysis",
"http://orkg.org/orkg/resource/R222375","2012","analysis",
"http://orkg.org/orkg/resource/R249030","2011","analysis",
"http://orkg.org/orkg/resource/R276031","2011","analysis",
"http://orkg.org/orkg/resource/R279086","2010","analysis",
"http://orkg.org/orkg/resource/R280498","2010","analysis",
"http://orkg.org/orkg/resource/R280738","2009","analysis",
"http://orkg.org/orkg/resource/R280765","2009","analysis",
"http://orkg.org/orkg/resource/R281194","2009","analysis",
"http://orkg.org/orkg/resource/R108199","2017","analysis",
"http://orkg.org/orkg/resource/R111988","2016","analysis",
"http://orkg.org/orkg/resource/R112434","2017","analysis",
"http://orkg.org/orkg/resource/R113008","2017","analysis",
"http://orkg.org/orkg/resource/R113067","2017","analysis",
"http://orkg.org/orkg/resource/R192386","2021","analysis",
"http://orkg.org/orkg/resource/R192398","2021","analysis",
"http://orkg.org/orkg/resource/R192428","2021","analysis",
"http://orkg.org/orkg/resource/R192445","2021","analysis",
"http://orkg.org/orkg/resource/R193022","2021","analysis",
"http://orkg.org/orkg/resource/R193025","2021","analysis",
"http://orkg.org/orkg/resource/R193035","2021","analysis",
"http://orkg.org/orkg/resource/R193070","2021","analysis",
"http://orkg.org/orkg/resource/R193089","2021","analysis",
"http://orkg.org/orkg/resource/R193108","2021","analysis",
"http://orkg.org/orkg/resource/R193330","2021","analysis",
"http://orkg.org/orkg/resource/R193336","2021","analysis",
"http://orkg.org/orkg/resource/R193341","2021","analysis",
"http://orkg.org/orkg/resource/R193357","2021","analysis",
"http://orkg.org/orkg/resource/R193371","2020","analysis",
"http://orkg.org/orkg/resource/R193385","2020","analysis",
"http://orkg.org/orkg/resource/R193406","2020","analysis",
"http://orkg.org/orkg/resource/R193467","2020","analysis",
"http://orkg.org/orkg/resource/R193481","2020","analysis",
"http://orkg.org/orkg/resource/R193798","2021","analysis",
"http://orkg.org/orkg/resource/R193818","2021","analysis",
"http://orkg.org/orkg/resource/R193828","2021","analysis",
"http://orkg.org/orkg/resource/R193849","2021","analysis",
"http://orkg.org/orkg/resource/R193866","2021","analysis",
"http://orkg.org/orkg/resource/R193898","2020","analysis",
"http://orkg.org/orkg/resource/R193925","2020","analysis",
"http://orkg.org/orkg/resource/R194054","2020","analysis",
"http://orkg.org/orkg/resource/R194084","2020","analysis",
"http://orkg.org/orkg/resource/R194093","2020","analysis",
"http://orkg.org/orkg/resource/R194114","2020","analysis",
"http://orkg.org/orkg/resource/R194125","2020","analysis",
"http://orkg.org/orkg/resource/R194139","2020","analysis",
"http://orkg.org/orkg/resource/R194237","2019","analysis",
"http://orkg.org/orkg/resource/R194253","2019","analysis",
"http://orkg.org/orkg/resource/R194317","2019","analysis",
"http://orkg.org/orkg/resource/R194345","2019","analysis",
"http://orkg.org/orkg/resource/R194360","2019","analysis",
"http://orkg.org/orkg/resource/R194414","2019","analysis",
"http://orkg.org/orkg/resource/R194428","2019","analysis",
"http://orkg.org/orkg/resource/R194445","2019","analysis",
"http://orkg.org/orkg/resource/R194474","2019","analysis",
"http://orkg.org/orkg/resource/R194607","2019","analysis",
"http://orkg.org/orkg/resource/R194610","2019","analysis",
"http://orkg.org/orkg/resource/R194641","2020","analysis",
"http://orkg.org/orkg/resource/R194686","2018","analysis",
"http://orkg.org/orkg/resource/R194698","2018","analysis",
"http://orkg.org/orkg/resource/R194884","2019","analysis",
"http://orkg.org/orkg/resource/R194895","2019","analysis",
"http://orkg.org/orkg/resource/R194922","2018","analysis",
"http://orkg.org/orkg/resource/R194932","2018","analysis",
"http://orkg.org/orkg/resource/R194974","2018","analysis",
"http://orkg.org/orkg/resource/R195005","2018","analysis",
"http://orkg.org/orkg/resource/R195023","2018","analysis",
"http://orkg.org/orkg/resource/R195113","2018","analysis",
"http://orkg.org/orkg/resource/R195129","2018","analysis",
"http://orkg.org/orkg/resource/R195144","2018","analysis",
"http://orkg.org/orkg/resource/R195153","2018","analysis",
"http://orkg.org/orkg/resource/R195179","2018","analysis",
"http://orkg.org/orkg/resource/R195218","2018","analysis",
"http://orkg.org/orkg/resource/R195224","2018","analysis",
"http://orkg.org/orkg/resource/R195495","2017","analysis",
"http://orkg.org/orkg/resource/R195519","2017","analysis",
"http://orkg.org/orkg/resource/R195551","2017","analysis",
"http://orkg.org/orkg/resource/R195578","2017","analysis",
"http://orkg.org/orkg/resource/R195587","2017","analysis",
"http://orkg.org/orkg/resource/R195597","2017","analysis",
"http://orkg.org/orkg/resource/R195728","2017","analysis",
"http://orkg.org/orkg/resource/R195749","2017","analysis",
"http://orkg.org/orkg/resource/R195767","2017","analysis",
"http://orkg.org/orkg/resource/R195866","2017","analysis",
"http://orkg.org/orkg/resource/R195982","2017","analysis",
"http://orkg.org/orkg/resource/R195998","2017","analysis",
"http://orkg.org/orkg/resource/R196009","2017","analysis",
"http://orkg.org/orkg/resource/R196014","2017","analysis",
"http://orkg.org/orkg/resource/R196065","2017","analysis",
"http://orkg.org/orkg/resource/R196070","2017","analysis",
"http://orkg.org/orkg/resource/R197609","2017","analysis",
"http://orkg.org/orkg/resource/R198663","2016","analysis",
"http://orkg.org/orkg/resource/R198673","2016","analysis",
"http://orkg.org/orkg/resource/R198681","2016","analysis",
"http://orkg.org/orkg/resource/R198689","2016","analysis",
"http://orkg.org/orkg/resource/R198706","2016","analysis",
"http://orkg.org/orkg/resource/R198724","2016","analysis",
"http://orkg.org/orkg/resource/R198795","2016","analysis",
"http://orkg.org/orkg/resource/R198797","2016","analysis",
"http://orkg.org/orkg/resource/R198808","2016","analysis",
"http://orkg.org/orkg/resource/R198833","2016","analysis",
"http://orkg.org/orkg/resource/R198877","2016","analysis",
"http://orkg.org/orkg/resource/R198917","2016","analysis",
"http://orkg.org/orkg/resource/R198972","2016","analysis",
"http://orkg.org/orkg/resource/R198994","2016","analysis",
"http://orkg.org/orkg/resource/R199014","2015","analysis",
"http://orkg.org/orkg/resource/R199023","2015","analysis",
"http://orkg.org/orkg/resource/R199028","2015","analysis",
"http://orkg.org/orkg/resource/R199113","2015","analysis",
"http://orkg.org/orkg/resource/R199123","2015","analysis",
"http://orkg.org/orkg/resource/R199158","2015","analysis",
"http://orkg.org/orkg/resource/R199162","2015","analysis",
"http://orkg.org/orkg/resource/R200042","2015","analysis",
"http://orkg.org/orkg/resource/R200049","2015","analysis",
"http://orkg.org/orkg/resource/R200098","2015","analysis",
"http://orkg.org/orkg/resource/R200106","2015","analysis",
"http://orkg.org/orkg/resource/R200119","2015","analysis",
"http://orkg.org/orkg/resource/R211096","2014","analysis",
"http://orkg.org/orkg/resource/R211121","2014","analysis",
"http://orkg.org/orkg/resource/R211177","2014","analysis",
"http://orkg.org/orkg/resource/R211188","2014","analysis",
"http://orkg.org/orkg/resource/R211198","2014","analysis",
"http://orkg.org/orkg/resource/R211283","2014","analysis",
"http://orkg.org/orkg/resource/R211294","2014","analysis",
"http://orkg.org/orkg/resource/R211327","2014","analysis",
"http://orkg.org/orkg/resource/R211336","2014","analysis",
"http://orkg.org/orkg/resource/R211351","2014","analysis",
"http://orkg.org/orkg/resource/R211361","2014","analysis",
"http://orkg.org/orkg/resource/R211370","2014","analysis",
"http://orkg.org/orkg/resource/R211380","2014","analysis",
"http://orkg.org/orkg/resource/R211404","2014","analysis",
"http://orkg.org/orkg/resource/R211411","2014","analysis",
"http://orkg.org/orkg/resource/R211452","2014","analysis",
"http://orkg.org/orkg/resource/R211459","2014","analysis",
"http://orkg.org/orkg/resource/R211467","2014","analysis",
"http://orkg.org/orkg/resource/R211474","2014","analysis",
"http://orkg.org/orkg/resource/R211485","2014","analysis",
"http://orkg.org/orkg/resource/R211494","2014","analysis",
"http://orkg.org/orkg/resource/R211502","2014","analysis",
"http://orkg.org/orkg/resource/R220303","2013","analysis",
"http://orkg.org/orkg/resource/R220343","2013","analysis",
"http://orkg.org/orkg/resource/R220354","2013","analysis",
"http://orkg.org/orkg/resource/R220364","2013","analysis",
"http://orkg.org/orkg/resource/R220371","2013","analysis",
"http://orkg.org/orkg/resource/R220390","2013","analysis",
"http://orkg.org/orkg/resource/R220605","2013","analysis",
"http://orkg.org/orkg/resource/R220611","2013","analysis",
"http://orkg.org/orkg/resource/R220618","2013","analysis",
"http://orkg.org/orkg/resource/R220643","2013","analysis",
"http://orkg.org/orkg/resource/R220798","2013","analysis",
"http://orkg.org/orkg/resource/R220810","2013","analysis",
"http://orkg.org/orkg/resource/R220831","2012","analysis",
"http://orkg.org/orkg/resource/R220838","2012","analysis",
"http://orkg.org/orkg/resource/R220845","2012","analysis",
"http://orkg.org/orkg/resource/R220858","2012","analysis",
"http://orkg.org/orkg/resource/R220874","2012","analysis",
"http://orkg.org/orkg/resource/R220898","2012","analysis",
"http://orkg.org/orkg/resource/R221137","2012","analysis",
"http://orkg.org/orkg/resource/R221147","2012","analysis",
"http://orkg.org/orkg/resource/R221156","2012","analysis",
"http://orkg.org/orkg/resource/R221163","2012","analysis",
"http://orkg.org/orkg/resource/R221176","2012","analysis",
"http://orkg.org/orkg/resource/R221187","2012","analysis",
"http://orkg.org/orkg/resource/R221801","2012","analysis",
"http://orkg.org/orkg/resource/R221838","2012","analysis",
"http://orkg.org/orkg/resource/R222366","2012","analysis",
"http://orkg.org/orkg/resource/R225574","2012","analysis",
