"paper","dc_label","method_label"
"http://orkg.org/orkg/resource/R193467","secondary research","tertiary literature review"
"http://orkg.org/orkg/resource/R193481","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193828","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193866","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193920","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194253","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194428","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194607","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194641","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113160","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195005","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195023","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R76792","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R108199","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195495","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113067","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R112434","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195597","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195664","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195728","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195743","secondary research","systematic review"
"http://orkg.org/orkg/resource/R198663","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R111988","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R198833","secondary research","systematic literature map"
"http://orkg.org/orkg/resource/R199014","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R199136","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R78392","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211351","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211428","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220303","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220583","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220633","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220810","secondary research","literature review"
"http://orkg.org/orkg/resource/R227514","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R228229","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R228262","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229273","secondary research","literature review"
"http://orkg.org/orkg/resource/R229316","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229340","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R229375","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R276000","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R276020","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R279133","secondary research","literature review"
"http://orkg.org/orkg/resource/R279158","secondary research","literature review"
"http://orkg.org/orkg/resource/R280747","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R192386","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R192398","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193022","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193035","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193330","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193336","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193357","secondary research","systematic literature review"
